No,year,month,day,hour,Temperature
366,2019,4,16,7,14.2085
367,2019,4,16,8,17.8232
368,2019,4,16,9,19.9052
369,2019,4,16,10,21.7212
370,2019,4,16,11,22.943
371,2019,4,16,12,23.825
372,2019,4,16,13,24.5218
373,2019,4,16,14,24.851
374,2019,4,16,15,24.9187
375,2019,4,16,16,24.3837
376,2019,4,16,17,23.5427
377,2019,4,16,18,22.4618
378,2019,4,16,19,21.117
379,2019,4,16,20,20.0608
380,2019,4,16,21,19.5555
381,2019,4,16,22,19.0998
382,2019,4,16,23,19.0438
383,2019,4,17,0,18.9172
384,2019,4,17,1,18.5887
385,2019,4,17,2,18.2618
386,2019,4,17,3,17.577
387,2019,4,17,4,17.4567
388,2019,4,17,5,17.1458
389,2019,4,17,6,17.3222
390,2019,4,17,7,17.998
391,2019,4,17,8,19.3433
392,2019,4,17,9,21.333
393,2019,4,17,10,23.5623
394,2019,4,17,11,24.7333
395,2019,4,17,12,24.927
396,2019,4,17,13,25.6545
397,2019,4,17,14,24.7648
398,2019,4,17,15,24.303
399,2019,4,17,16,23.7383
400,2019,4,17,17,23.3352
401,2019,4,17,18,22.9625
402,2019,4,17,19,22.4285
403,2019,4,17,20,22.1463
404,2019,4,17,21,22.3998
405,2019,4,17,22,22.4648
406,2019,4,17,23,22.2953
407,2019,4,18,0,22.3635
408,2019,4,18,1,22.5572
409,2019,4,18,2,22.5615
410,2019,4,18,3,22.557
411,2019,4,18,4,22.5302
412,2019,4,18,5,22.7208
413,2019,4,18,6,22.8395
414,2019,4,18,7,22.8742
415,2019,4,18,8,23.4882
416,2019,4,18,9,23.7722
417,2019,4,18,10,22.8925
418,2019,4,18,11,21.1995
419,2019,4,18,12,18.3203
420,2019,4,18,13,17.5533
421,2019,4,18,14,17.1922
422,2019,4,18,15,17.344
423,2019,4,18,16,17.748
424,2019,4,18,17,18.5332
425,2019,4,18,18,18.6805
426,2019,4,18,19,18.3067
427,2019,4,18,20,17.7742
